KLM 25,,,
Mon 12:09:33 PM,54.9,-81.8,"36,000"
Mon 12:10:34 PM,54.7833,-81.9667,"36,000"
Mon 12:11:34 PM,54.7,-82.1333,"36,000"
Mon 12:12:33 PM,54.6,-82.3,"36,000"
Mon 12:13:33 PM,54.5,-82.4833,"36,000"
Mon 12:14:33 PM,54.4,-82.65,"36,000"
Mon 12:15:34 PM,54.3,-82.8,"36,000"
Mon 12:16:34 PM,54.2,-82.9833,"36,000"
Mon 12:17:34 PM,54.1,-83.1333,"36,000"
Mon 12:18:33 PM,54,-83.3167,"36,000"
Mon 12:19:33 PM,53.9,-83.4667,"36,000"
Mon 12:21:37 PM,53.75,-84.0333,"36,000"
Mon 12:22:37 PM,53.6333,-84.1833,"36,000"
Mon 12:23:38 PM,53.5333,-84.3333,"36,000"
Mon 12:24:37 PM,53.4333,-84.4833,"36,000"
Mon 12:25:37 PM,53.3333,-84.6667,"36,000"
Mon 12:26:37 PM,53.2333,-84.8167,"36,000"
Mon 12:27:37 PM,53.1167,-84.95,"36,000"
Mon 12:28:37 PM,53.0167,-85.1333,"36,000"
Mon 12:29:38 PM,52.9333,-85.2833,"36,000"
Mon 12:30:37 PM,52.8167,-85.4333,"36,000"
Mon 12:31:37 PM,52.7167,-85.6,"36,000"
Mon 12:32:37 PM,52.6,-85.75,"36,000"
Mon 12:33:37 PM,52.5,-85.8833,"36,000"
Mon 12:34:38 PM,52.3833,-86.05,"36,000"
Mon 12:35:38 PM,52.3,-86.1667,"36,000"
Mon 12:37:50 PM,52.05,-86.4333,"36,000"
Mon 12:38:50 PM,51.9667,-86.5667,"36,000"
Mon 12:39:50 PM,51.8333,-86.7333,"36,000"
Mon 12:40:50 PM,51.7333,-86.8667,"36,000"
Mon 12:41:50 PM,51.6333,-87.0167,"36,000"
Mon 12:42:50 PM,51.5167,-87.15,"36,000"
Mon 12:43:50 PM,51.4333,-87.3,"36,000"
Mon 12:44:50 PM,51.3167,-87.4667,"36,000"
Mon 12:45:50 PM,51.2,-87.6,"36,000"
Mon 12:46:50 PM,51.1,-87.75,"36,000"
Mon 12:47:50 PM,51,-87.8833,"36,000"
Mon 12:48:50 PM,50.8833,-88.0333,"36,000"
Mon 12:49:26 PM,50.8432,-88.1533,"36,000"
Mon 12:49:50 PM,50.7833,-88.1667,"36,000"
Mon 12:50:51 PM,50.6667,-88.3167,"36,000"
Mon 12:51:06 PM,50.6621,-88.3887,"36,000"
Mon 12:52:34 PM,50.45,-88.45,"36,000"
Mon 12:52:41 PM,50.4925,-88.6089,"36,000"
Mon 12:53:50 PM,50.35,-88.7167,"36,000"
Mon 12:54:11 PM,50.3339,-88.8115,"36,000"
Mon 12:54:41 PM,50.2767,-88.8846,"36,000"
Mon 12:55:11 PM,50.2231,-88.9531,"36,000"
Mon 12:56:30 PM,50.0808,-89.1329,"36,000"
Mon 12:57:00 PM,50.0256,-89.2033,"36,000"
Mon 12:57:30 PM,49.9717,-89.2708,"36,000"
Mon 12:58:00 PM,49.9172,-89.3383,"36,000"
Mon 12:58:39 PM,49.846,-89.4256,"36,000"
Mon 12:59:11 PM,49.7896,-89.4965,"36,000"
Mon 12:59:41 PM,49.7358,-89.563,"36,000"
Mon 01:00:11 PM,49.6831,-89.627,"36,000"
Mon 01:00:41 PM,49.6289,-89.6933,"36,000"
Mon 01:01:11 PM,49.5744,-89.7615,"36,000"
Mon 01:01:41 PM,49.5208,-89.8273,"36,000"
Mon 01:02:12 PM,49.4665,-89.893,"36,000"
Mon 01:02:42 PM,49.412,-89.9587,"36,000"
Mon 01:03:12 PM,49.3594,-90.022,"36,000"
Mon 01:03:42 PM,49.3055,-90.0874,"36,000"
Mon 01:04:12 PM,49.2499,-90.1549,"36,000"
Mon 01:04:42 PM,49.1964,-90.218,"36,000"
Mon 01:05:42 PM,49.0873,-90.3503,"36,000"
Mon 01:06:12 PM,49.0317,-90.4153,"36,000"
Mon 01:06:42 PM,48.9768,-90.48,"36,000"
Mon 01:07:12 PM,48.9229,-90.5446,"36,000"
Mon 01:07:42 PM,48.8691,-90.6088,"36,000"
Mon 01:08:12 PM,48.8128,-90.675,"36,000"
Mon 01:08:42 PM,48.7579,-90.7391,"36,000"
Mon 01:09:45 PM,48.6561,-90.8586,"36,000"
Mon 01:10:02 PM,48.6146,-90.9067,"36,000"
Mon 01:11:02 PM,48.5045,-91.0335,"36,000"
Mon 01:11:33 PM,48.4463,-91.0971,"36,000"
Mon 01:12:31 PM,48.3269,-91.1895,"36,000"
Mon 01:13:31 PM,48.2,-91.2765,"36,000"
Mon 01:14:01 PM,48.1354,-91.3197,"36,000"
Mon 01:15:01 PM,48.0074,-91.4062,"36,000"
Mon 01:16:01 PM,47.8801,-91.4925,"36,000"
Mon 01:17:01 PM,47.7521,-91.5782,"36,000"
Mon 01:18:01 PM,47.6506,-91.6462,"36,000"
Mon 01:18:32 PM,47.5602,-91.7068,"36,000"
Mon 01:19:12 PM,47.4761,-91.763,"36,000"
Mon 01:20:12 PM,47.3473,-91.847,"36,000"
Mon 01:20:42 PM,47.2847,-91.8888,"36,000"
Mon 01:21:12 PM,47.2192,-91.9317,"36,000"
Mon 01:22:19 PM,47.0814,-92.0217,"36,000"
Mon 01:22:50 PM,47.0123,-92.066,"36,000"
Mon 01:23:20 PM,46.9486,-92.1073,"36,000"
Mon 01:23:50 PM,46.8843,-92.15,"36,000"
Mon 01:24:19 PM,46.8235,-92.1893,"36,000"
Mon 01:25:30 PM,46.6764,-92.3017,"36,000"
Mon 01:26:13 PM,46.585,-92.3618,"36,000"
Mon 01:26:43 PM,46.526,-92.4026,"36,000"
Mon 01:27:16 PM,46.4532,-92.4544,"36,000"
Mon 01:27:46 PM,46.391,-92.498,"36,000"
Mon 01:28:19 PM,46.3227,-92.5477,"36,000"
Mon 01:28:49 PM,46.2609,-92.5929,"36,000"
Mon 01:29:19 PM,46.198,-92.6381,"36,000"
Mon 01:29:54 PM,46.1238,-92.6904,"36,000"
Mon 01:30:24 PM,46.0619,-92.7352,"36,000"
Mon 01:30:54 PM,45.9999,-92.7782,"36,000"
Mon 01:31:24 PM,45.936,-92.824,"36,000"
Mon 01:31:54 PM,45.8731,-92.8684,"36,000"
Mon 01:32:24 PM,45.8107,-92.9125,"36,000"
Mon 01:32:54 PM,45.7464,-92.9567,"36,000"
Mon 01:33:28 PM,45.6752,-93.0066,"36,000"
Mon 01:34:00 PM,45.6134,-93.0505,"36,000"
Mon 01:34:30 PM,45.5437,-93.0987,"36,000"
Mon 01:34:48 PM,45.506,-93.125,"36,000"
Mon 01:35:48 PM,45.3795,-93.2125,"36,000"
Mon 01:36:18 PM,45.3159,-93.2561,"36,000"
Mon 01:36:48 PM,45.2523,-93.2993,"36,000"
Mon 01:37:18 PM,45.192,-93.3412,"36,000"
Mon 01:37:49 PM,45.1308,-93.3788,"36,000"
Mon 01:38:55 PM,44.9717,-93.4438,"36,000"
Mon 01:39:55 PM,44.8342,-93.4903,"36,000"
Mon 01:40:25 PM,44.7623,-93.5164,"36,000"
Mon 01:41:16 PM,44.6532,-93.557,"36,000"
Mon 01:41:46 PM,44.5976,-93.578,"36,000"
Mon 01:42:22 PM,44.4867,-93.6193,"36,000"
Mon 01:42:54 PM,44.4143,-93.6465,"36,000"
Mon 01:43:32 PM,44.3285,-93.6786,"36,000"
Mon 01:44:02 PM,44.2566,-93.7055,"36,000"
Mon 01:44:33 PM,44.1899,-93.7304,"36,000"
Mon 01:45:03 PM,44.1118,-93.7586,"36,000"
Mon 01:45:34 PM,44.0462,-93.7826,"36,000"
Mon 01:46:04 PM,43.9722,-93.8098,"36,000"
Mon 01:46:34 PM,43.9023,-93.8353,"36,000"
Mon 01:47:04 PM,43.8306,-93.8608,"36,000"
Mon 01:47:34 PM,43.7591,-93.8872,"36,000"
Mon 01:48:12 PM,43.688,-93.9126,"36,000"
Mon 01:49:03 PM,43.5492,-93.9629,"36,000"
Mon 01:49:33 PM,43.4813,-93.9867,"36,000"
Mon 01:50:05 PM,43.404,-94.0147,"36,000"
Mon 01:50:35 PM,43.332,-94.04,"36,000"
Mon 01:51:36 PM,43.188,-94.0914,"36,000"
Mon 01:52:27 PM,43.07,-94.1328,"36,000"
Mon 01:52:57 PM,43.0109,-94.1541,"36,000"
Mon 01:53:27 PM,42.9248,-94.1844,"36,000"
Mon 01:53:57 PM,42.8523,-94.2099,"36,000"
Mon 01:55:03 PM,42.6898,-94.2668,"36,000"
Mon 01:55:45 PM,42.59,-94.3014,"36,000"
Mon 01:56:58 PM,42.4019,-94.3468,"36,000"
Mon 01:57:59 PM,42.2488,-94.3829,"36,000"
Mon 01:58:31 PM,42.18,-94.3993,"36,000"
Mon 01:59:01 PM,42.0921,-94.4209,"36,000"
Mon 01:59:31 PM,42.0194,-94.4384,"36,000"
Mon 02:00:34 PM,41.8624,-94.4775,"36,000"
Mon 02:01:09 PM,41.7842,-94.4967,"36,000"
Mon 02:01:42 PM,41.6908,-94.5194,"36,000"
Mon 02:02:17 PM,41.6035,-94.5401,"36,000"
Mon 02:02:47 PM,41.5226,-94.56,"36,000"
Mon 02:03:18 PM,41.4464,-94.5781,"36,000"
Mon 02:03:48 PM,41.3707,-94.596,"36,000"
Mon 02:04:49 PM,41.2169,-94.6323,"36,000"
Mon 02:05:19 PM,41.1426,-94.6501,"36,000"
Mon 02:05:52 PM,41.0601,-94.6696,"36,000"
Mon 02:06:23 PM,40.9861,-94.6868,"36,000"
Mon 02:07:24 PM,40.8409,-94.721,"36,000"
Mon 02:08:25 PM,40.6752,-94.7602,"36,000"
Mon 02:09:26 PM,40.5219,-94.7958,"36,000"
Mon 02:09:30 PM,40.5183,-94.7967,"36,000"
Mon 02:10:27 PM,40.3737,-94.8301,"36,000"
Mon 02:11:27 PM,40.2225,-94.8651,"36,000"
Mon 02:12:29 PM,40.066,-94.9008,"36,000"
Mon 02:13:18 PM,39.942,-94.9324,"36,000"
Mon 02:13:50 PM,39.8642,-94.9587,"36,000"
Mon 02:14:31 PM,39.7714,-94.9771,"36,000"
Mon 02:14:52 PM,39.7111,-94.9885,"36,000"
Mon 02:15:22 PM,39.6325,-95.0047,"36,000"
Mon 02:15:52 PM,39.556,-95.022,"36,000"
Mon 02:16:19 PM,39.4908,-95.0364,"36,000"
Mon 02:16:55 PM,39.4145,-95.0549,"36,000"
Mon 02:17:30 PM,39.3108,-95.0794,"36,000"
Mon 02:18:06 PM,39.2201,-95.1013,"36,000"
Mon 02:18:36 PM,39.1568,-95.1163,"36,000"
Mon 02:19:06 PM,39.0714,-95.1368,"36,000"
Mon 02:19:36 PM,38.992,-95.1559,"36,000"
Mon 02:20:09 PM,38.9187,-95.173,"36,000"
Mon 02:21:09 PM,38.7754,-95.2066,"36,000"
Mon 02:21:24 PM,38.7227,-95.2184,"36,000"
Mon 02:21:59 PM,38.6324,-95.2398,"36,000"
Mon 02:22:29 PM,38.5571,-95.2573,"36,000"
Mon 02:22:59 PM,38.4801,-95.2753,"36,000"
Mon 02:23:29 PM,38.4043,-95.2928,"36,000"
Mon 02:23:59 PM,38.3309,-95.3097,"36,000"
Mon 02:24:30 PM,38.2511,-95.3283,"36,000"
Mon 02:25:01 PM,38.1894,-95.3421,"36,000"
Mon 02:25:31 PM,38.0993,-95.363,"36,000"
Mon 02:26:02 PM,38.0227,-95.3808,"36,000"
Mon 02:26:32 PM,37.9464,-95.3979,"36,000"
Mon 02:27:02 PM,37.8754,-95.4143,"36,000"
Mon 02:27:34 PM,37.7942,-95.4322,"36,000"
Mon 02:28:04 PM,37.7208,-95.4492,"36,000"
Mon 02:28:34 PM,37.642,-95.4666,"36,000"
Mon 02:29:08 PM,37.5575,-95.4857,"36,000"
Mon 02:29:42 PM,37.4784,-95.5037,"36,000"
Mon 02:30:42 PM,37.3201,-95.5393,"36,000"
Mon 02:31:42 PM,37.1733,-95.5723,"36,000"
Mon 02:32:44 PM,37.0189,-95.607,"36,000"
Mon 02:33:45 PM,36.8644,-95.6415,"36,000"
Mon 02:34:56 PM,36.6952,-95.6786,"36,000"
Mon 02:35:56 PM,36.5373,-95.713,"36,000"
Mon 02:36:57 PM,36.3881,-95.7457,"36,000"
Mon 02:37:57 PM,36.2363,-95.7797,"36,000"
Mon 02:38:39 PM,36.1391,-95.8109,"36,000"
Mon 02:39:10 PM,36.0593,-95.8372,"36,000"
Mon 02:39:46 PM,35.9803,-95.8632,"36,000"
Mon 02:40:18 PM,35.905,-95.8889,"36,000"
Mon 02:41:01 PM,35.803,-95.924,"36,000"
Mon 02:42:14 PM,35.6143,-95.99,"36,000"
Mon 02:43:14 PM,35.47,-96.0405,"36,000"
Mon 02:44:14 PM,35.3282,-96.09,"36,000"
Mon 02:44:45 PM,35.2562,-96.1149,"36,000"
Mon 02:45:16 PM,35.1836,-96.1397,"36,000"
Mon 02:46:09 PM,35.0614,-96.1818,"36,000"
Mon 02:46:44 PM,34.983,-96.2078,"36,000"
Mon 02:47:16 PM,34.9324,-96.2251,"36,000"
Mon 02:47:47 PM,34.842,-96.2561,"36,000"
Mon 02:48:56 PM,34.6483,-96.3217,"36,000"
Mon 02:49:38 PM,34.5452,-96.3565,"36,000"
Mon 02:50:29 PM,34.4201,-96.3962,"36,000"
Mon 02:51:31 PM,34.2659,-96.4161,"36,000"
Mon 02:52:35 PM,34.1158,-96.4191,"36,000"
Mon 02:53:39 PM,33.9581,-96.4228,"36,000"
Mon 02:54:39 PM,33.7938,-96.4281,"36,000"
Mon 02:55:41 PM,33.6382,-96.4341,"36,000"
Mon 02:56:19 PM,33.5448,-96.4377,"36,000"
Mon 02:56:50 PM,33.4674,-96.4406,"36,000"
Mon 02:57:21 PM,33.395,-96.4433,"36,000"
Mon 02:57:51 PM,33.314,-96.4461,"36,000"
Mon 02:58:21 PM,33.2379,-96.4488,"36,000"
Mon 02:58:51 PM,33.1688,-96.4512,"36,000"
Mon 02:59:22 PM,33.1055,-96.4533,"36,000"
Mon 03:00:00 PM,32.9979,-96.457,"36,000"
Mon 03:00:31 PM,32.9246,-96.4595,"36,000"
Mon 03:01:01 PM,32.8503,-96.4618,"36,000"
Mon 03:01:35 PM,32.7788,-96.4646,"36,000"
Mon 03:02:05 PM,32.6957,-96.468,"36,000"
Mon 03:02:35 PM,32.6273,-96.4708,"36,000"
Mon 03:03:36 PM,32.4848,-96.4767,"36,000"
Mon 03:04:36 PM,32.3421,-96.4824,"36,000"
Mon 03:05:39 PM,32.1988,-96.488,"35,800"
Mon 03:06:44 PM,32.0424,-96.4939,"34,200"
Mon 03:07:43 PM,31.9022,-96.4994,"33,000"
Mon 03:08:30 PM,31.7744,-96.4721,"33,000"
Mon 03:09:00 PM,31.6958,-96.4516,"33,000"
Mon 03:09:30 PM,31.6211,-96.4338,"33,000"
Mon 03:10:00 PM,31.5467,-96.417,"33,000"
Mon 03:10:31 PM,31.4721,-96.4008,"33,000"
Mon 03:11:02 PM,31.3963,-96.385,"33,000"
Mon 03:11:36 PM,31.3116,-96.3665,"33,000"
Mon 03:12:00 PM,31.2628,-96.3505,"33,000"
Mon 03:12:36 PM,31.179,-96.3069,"32,300"
Mon 03:13:07 PM,31.0901,-96.2536,"30,700"
Mon 03:13:42 PM,31.0186,-96.2092,"29,500"
Mon 03:14:15 PM,30.9512,-96.1667,"28,400"
Mon 03:14:45 PM,30.8866,-96.1247,"27,200"
Mon 03:15:49 PM,30.7419,-96.031,"24,100"
Mon 03:16:19 PM,30.692,-95.998,"23,100"
Mon 03:16:53 PM,30.6123,-95.9477,"21,600"
Mon 03:17:23 PM,30.5488,-95.9076,"20,400"
Mon 03:17:44 PM,30.5109,-95.8818,"20,000"
Mon 03:18:05 PM,30.4729,-95.8544,"19,800"
Mon 03:18:23 PM,30.4419,-95.8343,"19,600"
Mon 03:18:42 PM,30.4108,-95.8125,"19,000"
Mon 03:19:00 PM,30.3819,-95.786,"18,200"
Mon 03:20:02 PM,30.3167,-95.6947,"16,600"
Mon 03:20:15 PM,30.2867,-95.6689,"15,800"
Mon 03:21:15 PM,30.2075,-95.5946,"13,700"
Mon 03:22:15 PM,30.1336,-95.5233,"11,600"
Mon 03:22:34 PM,30.1136,-95.503,"11,000"
Mon 03:22:53 PM,30.0965,-95.4712,"10,200"
Mon 03:23:13 PM,30.0922,-95.4386,"9,700"
Mon 03:23:28 PM,30.0919,-95.4113,"9,200"
Mon 03:23:43 PM,30.0919,-95.3896,"8,800"
Mon 03:23:58 PM,30.0922,-95.362,"8,400"
Mon 03:24:13 PM,30.0924,-95.3397,"7,900"
Mon 03:24:28 PM,30.0922,-95.3163,"7,400"
Mon 03:24:43 PM,30.0914,-95.2938,"7,000"
Mon 03:24:58 PM,30.0912,-95.2725,"6,700"
Mon 03:25:13 PM,30.0912,-95.2519,"6,300"
Mon 03:25:28 PM,30.0913,-95.2319,"6,000"
Mon 03:25:43 PM,30.0912,-95.2108,"5,800"
Mon 03:26:14 PM,30.091,-95.1708,"5,300"
Mon 03:26:44 PM,30.0909,-95.1347,"4,800"
Mon 03:26:59 PM,30.0911,-95.1174,"4,800"
Mon 03:27:14 PM,30.0913,-95.0965,"4,800"
Mon 03:27:29 PM,30.0915,-95.0791,"4,800"
Mon 03:28:02 PM,30.0867,-95.0426,"4,800"
Mon 03:28:18 PM,30.0695,-95.0279,"4,800"
Mon 03:28:37 PM,30.0517,-95.0256,"4,800"
Mon 03:28:52 PM,30.0321,-95.0284,"4,800"
Mon 03:29:08 PM,30.0183,-95.0381,"4,800"
Mon 03:29:23 PM,30.0118,-95.0553,"4,700"
Mon 03:29:42 PM,30.0085,-95.0763,"4,400"
Mon 03:30:08 PM,30.0066,-95.1022,"3,900"
Mon 03:30:34 PM,30.0074,-95.1358,"3,300"
Mon 03:30:49 PM,30.0074,-95.1545,"3,000"
Mon 03:31:04 PM,30.0073,-95.1715,"2,700"
Mon 03:31:19 PM,30.0072,-95.1882,"2,400"
Mon 03:31:34 PM,30.0072,-95.204,"2,200"
Mon 03:31:49 PM,30.0073,-95.2186,"1,900"
Mon 03:32:04 PM,30.0073,-95.2326,"1,700"
Mon 03:32:19 PM,30.0072,-95.2428,"1,500"
Mon 03:32:34 PM,30.0072,-95.2591,"1,200"
Mon 03:32:49 PM,30.0072,-95.2704,"1,000"
Mon 03:33:04 PM,30.0072,-95.2851,800
Mon 03:33:19 PM,30.0072,-95.2991,600
